equipamento_id,timestamp,hora,minuto,dia_semana,mes,operando,consumo_kwh,solar_kwh,irradiancia_wm2,tarifa_rs_kwh,temperatura_c,cobertura_solar_pct,classe_risco,score_risco,custo_rs
1,2024-05-01 00:00:00,0,0,2,5,0,0.3073,0.0,0.0,0.52,22.7,0.0,1,54,0.1598
2,2024-05-01 00:00:00,0,0,2,5,1,10.3666,0.0,0.0,0.52,22.7,0.0,1,55,5.3906
3,2024-05-01 00:00:00,0,0,2,5,0,0.1389,0.0,0.0,0.52,22.7,0.0,1,55,0.0722
4,2024-05-01 00:00:00,0,0,2,5,0,0.1625,0.0,0.0,0.52,22.7,0.0,1,58,0.0845
5,2024-05-01 00:00:00,0,0,2,5,0,0.0909,0.0,0.0,0.52,22.7,0.0,1,53,0.0473
6,2024-05-01 00:00:00,0,0,2,5,0,0.0983,0.0,0.0,0.52,22.7,0.0,1,53,0.0511
7,2024-05-01 00:00:00,0,0,2,5,0,0.0518,0.0,0.0,0.52,22.7,0.0,1,47,0.0269
8,2024-05-01 00:00:00,0,0,2,5,1,4.4326,0.0,0.0,0.52,22.7,0.0,1,57,2.305
1,2024-05-01 00:15:00,0,15,2,5,0,0.2407,0.0,0.0,0.52,19.7,0.0,1,52,0.1252
2,2024-05-01 00:15:00,0,15,2,5,1,10.722,0.0,0.0,0.52,19.7,0.0,1,53,5.5754
3,2024-05-01 00:15:00,0,15,2,5,0,0.1697,0.0,0.0,0.52,19.7,0.0,1,56,0.0882
4,2024-05-01 00:15:00,0,15,2,5,0,0.1555,0.0,0.0,0.52,19.7,0.0,1,55,0.0809
5,2024-05-01 00:15:00,0,15,2,5,1,5.8794,0.0,0.0,0.52,19.7,0.0,1,53,3.0573
6,2024-05-01 00:15:00,0,15,2,5,0,0.0944,0.0,0.0,0.52,19.7,0.0,1,57,0.0491
7,2024-05-01 00:15:00,0,15,2,5,0,0.0604,0.0,0.0,0.52,19.7,0.0,1,51,0.0314
8,2024-05-01 00:15:00,0,15,2,5,1,4.0434,0.0,0.0,0.52,19.7,0.0,1,53,2.1026
1,2024-05-01 00:30:00,0,30,2,5,0,0.3273,0.0,0.0,0.52,22.0,0.0,1,57,0.1702
2,2024-05-01 00:30:00,0,30,2,5,0,0.2081,0.0,0.0,0.52,22.0,0.0,1,51,0.1082
3,2024-05-01 00:30:00,0,30,2,5,0,0.1701,0.0,0.0,0.52,22.0,0.0,1,51,0.0885
4,2024-05-01 00:30:00,0,30,2,5,1,8.3378,0.0,0.0,0.52,22.0,0.0,1,57,4.3357
5,2024-05-01 00:30:00,0,30,2,5,0,0.094,0.0,0.0,0.52,22.0,0.0,1,55,0.0489
6,2024-05-01 00:30:00,0,30,2,5,0,0.0988,0.0,0.0,0.52,22.0,0.0,1,54,0.0514
7,2024-05-01 00:30:00,0,30,2,5,0,0.0537,0.0,0.0,0.52,22.0,0.0,1,54,0.0279
8,2024-05-01 00:30:00,0,30,2,5,1,4.3708,0.0,0.0,0.52,22.0,0.0,1,53,2.2728
1,2024-05-01 00:45:00,0,45,2,5,0,0.2861,0.0,0.0,0.52,20.0,0.0,1,52,0.1488
2,2024-05-01 00:45:00,0,45,2,5,0,0.1927,0.0,0.0,0.52,20.0,0.0,1,56,0.1002
3,2024-05-01 00:45:00,0,45,2,5,1,9.9241,0.0,0.0,0.52,20.0,0.0,1,57,5.1605
4,2024-05-01 00:45:00,0,45,2,5,1,8.7285,0.0,0.0,0.52,20.0,0.0,1,54,4.5388
5,2024-05-01 00:45:00,0,45,2,5,0,0.0952,0.0,0.0,0.52,20.0,0.0,1,53,0.0495
6,2024-05-01 00:45:00,0,45,2,5,0,0.1288,0.0,0.0,0.52,20.0,0.0,1,50,0.067
7,2024-05-01 00:45:00,0,45,2,5,0,0.0464,0.0,0.0,0.52,20.0,0.0,1,58,0.0241
8,2024-05-01 00:45:00,0,45,2,5,0,0.0693,0.0,0.0,0.52,20.0,0.0,1,58,0.036
1,2024-05-01 01:00:00,1,0,2,5,0,0.2967,0.0,0.0,0.52,22.4,0.0,1,54,0.1543
2,2024-05-01 01:00:00,1,0,2,5,0,0.1908,0.0,0.0,0.52,22.4,0.0,1,58,0.0992
3,2024-05-01 01:00:00,1,0,2,5,0,0.1831,0.0,0.0,0.52,22.4,0.0,1,56,0.0952
4,2024-05-01 01:00:00,1,0,2,5,0,0.1663,0.0,0.0,0.52,22.4,0.0,1,59,0.0865
5,2024-05-01 01:00:00,1,0,2,5,0,0.1122,0.0,0.0,0.52,22.4,0.0,1,47,0.0583
6,2024-05-01 01:00:00,1,0,2,5,0,0.0911,0.0,0.0,0.52,22.4,0.0,1,57,0.0474
7,2024-05-01 01:00:00,1,0,2,5,0,0.0474,0.0,0.0,0.52,22.4,0.0,1,55,0.0246
8,2024-05-01 01:00:00,1,0,2,5,0,0.0694,0.0,0.0,0.52,22.4,0.0,1,54,0.0361
1,2024-05-01 01:15:00,1,15,2,5,0,0.253,0.0,0.0,0.52,25.1,0.0,1,55,0.1316
2,2024-05-01 01:15:00,1,15,2,5,1,13.1005,0.0,0.0,0.52,25.1,0.0,1,53,6.8123
3,2024-05-01 01:15:00,1,15,2,5,0,0.1402,0.0,0.0,0.52,25.1,0.0,1,52,0.0729
4,2024-05-01 01:15:00,1,15,2,5,0,0.1758,0.0,0.0,0.52,25.1,0.0,1,53,0.0914
5,2024-05-01 01:15:00,1,15,2,5,0,0.1264,0.0,0.0,0.52,25.1,0.0,1,57,0.0657
6,2024-05-01 01:15:00,1,15,2,5,0,0.1262,0.0,0.0,0.52,25.1,0.0,1,55,0.0656
7,2024-05-01 01:15:00,1,15,2,5,0,0.0492,0.0,0.0,0.52,25.1,0.0,1,55,0.0256
8,2024-05-01 01:15:00,1,15,2,5,1,4.439,0.0,0.0,0.52,25.1,0.0,1,52,2.3083
1,2024-05-01 01:30:00,1,30,2,5,0,0.2506,0.0,0.0,0.52,23.3,0.0,1,58,0.1303
2,2024-05-01 01:30:00,1,30,2,5,0,0.2575,0.0,0.0,0.52,23.3,0.0,1,54,0.1339
3,2024-05-01 01:30:00,1,30,2,5,0,0.1355,0.0,0.0,0.52,23.3,0.0,1,47,0.0705
4,2024-05-01 01:30:00,1,30,2,5,0,0.1333,0.0,0.0,0.52,23.3,0.0,1,56,0.0693
5,2024-05-01 01:30:00,1,30,2,5,0,0.0954,0.0,0.0,0.52,23.3,0.0,1,56,0.0496
6,2024-05-01 01:30:00,1,30,2,5,0,0.1045,0.0,0.0,0.52,23.3,0.0,1,54,0.0543
7,2024-05-01 01:30:00,1,30,2,5,0,0.0567,0.0,0.0,0.52,23.3,0.0,1,52,0.0295
8,2024-05-01 01:30:00,1,30,2,5,0,0.0892,0.0,0.0,0.52,23.3,0.0,1,59,0.0464
1,2024-05-01 01:45:00,1,45,2,5,0,0.257,0.0,0.0,0.52,20.9,0.0,1,54,0.1336
